Solar System Name,Security Rating,Region,Constellation,Coordinate x,Coordinate z,Coordinate y,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Pronunciation 1,Pronunciation 1 Syllable Count,Pronunciation 2,Pronunciation 2 Syllable Count,Pronunciation 3,Pronunciation 3 Syllable Count
0-3VW8,-0.034,Great Wildlands,I3-2J0,8.7523506195778,2.0425239250837,-5.0585461797678,28-QWU,F7A-MR,,,,,,,,,,,,
0-4VQL,-0.488,Outer Passage,NPL-WH,28.66087722621,3.0834283640747,11.9202907871186,FVQF-W,SN-DZ6,,,,,,,,,,,,
0-6VZ5,-0.499,Insmother,R-CL2W,14.8524468036476,-3.2487512058029,-18.3175778352141,1KAW-T,GB-6X5,,,,,,,,,,,,
0-7XA8,-0.065,Stain,Q4IG-S,-18.4904853788212,6.2219620956496,-32.7365779513777,JU-UYK,RLDS-R,,,,,,,,,,,,
0-9UHT,-0.025,Outer Ring,Belt,-38.0448064352773,0.4640430019807,9.8486262329792,0-WVQS,5WAE-M,J1H-R4,,,,,,,,,,,
0-ARFO,-0.5,Fade,7X-X1Y,-31.9850808483368,4.179362858606,25.7259440068558,C-OK0R,,,,,,,,,,,,,
0-BFTQ,-0.174,Venal,UTZ-7B,-14.2707717900668,11.4431995383594,29.016871221566,BV-1JG,SS-GED,,,,,,,,,,,,
0-G8NO,-0.687,Detorid,ZPI-2E,16.2493275852312,-3.1257417202958,-22.4079436627376,HZFJ-M,SLVP-D,,,,,,,,,,,,
0-GZX9,-0.303,Geminate,ZYL-FT,-4.3831120635103,7.9546411916915,12.6274946321937,2H-TSE,AP9-LV,KR-V6G,,,,,,,,,,,
0-HDC8,-0.722,Delve,W-4U1E,-40.4698143194446,6.0862616813195,-27.833322285672,PUIG-F,SVM-3K,,,,,,,,,,,,
0-MX34,-0.085,Paragon Soul,TCC-ZV,-7.9464659535066,-4.7956130609221,-47.1990024846362,4Y-OBL,5AQ-5H,T-ZFID,,,,,,,,,,,
0-N1BJ,-0.131,Malpais,2747-4,20.5665647658511,7.0541188807952,8.4404394771462,FO9-FZ,T-8GWA,,,,,,,,,,,,
0-NTIS,-0.028,Period Basis,XOV7-5,-40.0583998623939,8.1601889282077,-36.5436573212136,35-JWD,I6M-9U,XZ-SKZ,,,,,,,,,,,
0-O2UT,-0.421,Venal,Y8-HHZ,-8.2793764276455,11.7052323947563,34.4871882967274,B-CZXG,FHB-QA,JURU-T,Q61Y-F,,,,,,,,,,
0-O6XF,-0.62,Esoteria,Q-2BI6,-12.443703396257,0.0995019621031,-38.3539904013388,C-VZAK,D-FVI7,NH-R5B,VL7-60,,,,,,,,,,
0-QP56,-0.21,Oasa,0PS-L5,23.2774178128993,3.6896165824813,14.8493407505969,GTQ-C9,MTGF-2,ORB4-J,,,,,,,,,,,
0-R5TS,-0.219,Vale of the Silent,OSJ7-I,-6.7201046889762,9.820726062585,16.8139788973304,H-UCD1,U54-1L,,,,,,,,,,,,
0-TRV1,-0.262,Malpais,1M4-FN,17.7615869817851,7.9321561540878,8.0587591145767,F-TQWO,NBO-O0,O8W-5O,,,,,,,,,,,
0-U2M4,-0.9,Perrigen Falls,TPB-KG,18.9881880789084,3.6757647864522,16.2552674886549,01B-88,RZ8A-P,,,,,,,,,,,,
0-UVHJ,-0.082,Tenal,M-J57M,-5.76128222281,7.3810249056769,40.8748489344418,IG-ZAM,NCG-PW,U1TX-A,,,,,,,,,,,
0-VG7A,-0.43,Insmother,0-YMZM,14.9152682348171,-2.4270319713121,-15.1986753446889,Q-3HS5,,,,,,,,,,,,,
0-W778,-0.217,Detorid,RFQ-8Y,12.8760230174482,-1.258057834358,-18.7457820464354,5J4K-9,DG-8VJ,MD-0AW,,,,,,,,,,,
