Solar System Name,Security Rating,Region,Constellation,Coordinate x,Coordinate z,Coordinate y,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Pronunciation 1,Pronunciation 1 Syllable Count,Pronunciation 2,Pronunciation 2 Syllable Count,Pronunciation 3,Pronunciation 3 Syllable Count
Afrah,0.316,Aridia,Tid,-37.5427146510448,1.6290854441477,-7.4979627806733,Nema,Soliara,,,,,,,2,a-fra,,,,
Ahraghen,0.203,Aridia,Helab,-37.4488738875154,2.4381842942401,-8.1793242937638,Ajna,Soliara,Tukanas,,,,,,3,a-hra-ghe,,,,
Ajna,0.185,Aridia,Helab,-36.7230050326732,3.2144045088387,-8.0201924117509,Ahraghen,Sheri,Soliara,,,,,,2,a-jna,,,,
Anath,0.041,Aridia,Fabai,-40.1497981587597,-0.8580549168049,-12.7249755544456,Naga,Rafeme,Sakht,,,,,,2,a-na,,,,
Anohel,0.138,Aridia,Maal,-40.6614273354632,-0.0189598997736,-9.2451676497741,Illi,Vaini,,,,,,,3,a-no-he,,,,
Avada,0.689,Aridia,Mayonhen,-36.5942340468511,0.293702270293,-4.6820192756432,Haimeh,Mishi,Pahineh,,,,,,3,a-va-da,,,,
Balas,0.044,Aridia,Ombil,-35.3269467444659,5.5736568061445,-4.527986411589,Ertoo,Hoseen,Yiratal,,,,,,2,ba-la,,,,
Bapraya,0.296,Aridia,Maal,-40.5306052658106,1.8350976751313,-7.7979028915322,Fobiner,Keba,Pserz,,,,,,3,ba-pra-ya,,,,
Bazadod,0.471,Aridia,Mayonhen,-36.8073554871601,2.0126608572624,-5.5253178295022,Haimeh,,,,,,,,3,ba-za-do,,,,
Chibi,0.479,Aridia,Mayonhen,-37.1059485625966,1.299473795422,-4.2315569793608,Haimeh,,,,,,,,2,chi-bi,,,,
Defsunun,0.103,Aridia,Leseasesh,-39.4212720171264,-0.9523330869896,-9.6627029881083,Efu,Shafrak,,,,,,,3,de-fsu-nu,,,,
