Solar System Name,Security Rating,Region,Constellation,Coordinate x,Coordinate z,Coordinate y,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Pronunciation 1,Pronunciation 1 Syllable Count,Pronunciation 2,Pronunciation 2 Syllable Count,Pronunciation 3,Pronunciation 3 Syllable Count
Abagawa,0.625,The Forge,Okomon,-9.3195238525388,5.9626073427345,8.7534666505001,Hurtoken,Saisio,,,,,,,4,a-ba-ga-wa,,,,
Ahtulaima,0.613,The Forge,Ruomo,-10.2314240978147,5.15208739769,11.4451455950439,Itamo,,,,,,,,4,a-tu-lai-ma,5,a-tu-la-i-ma,,
Airaken,0.504,The Forge,Aulari,-6.6183994757205,8.6707994419895,9.932167436306,Korsiki,Oijanen,,,,,,,3,ai-ra-ken,4,a-i-ra-ken,5,a-i-ra-ke-n
Airmia,0.623,The Forge,Okkelen,-7.6288584186496,8.3095211718441,11.5923520577851,Friggi,Ishisomo,Sakkikainen,,,,,,3,air-mi-a,4,a-ir-mi-a,,
Akkilen,0.689,The Forge,Otsabaira,-8.3260187212346,7.5231204601094,12.211378426077,Hentogaira,Onuse,Soshin,Vattuolen,,,,,3,a-ki-len,4,a-ki-le-n,,
Akkio,0.162,The Forge,Mivora,-4.7105166870794,3.0292857872743,8.3317261489071,EOA-ZC,Otosela,Todifrauan,,,,,,2,a-kyo,3,a-ki-o,,
Akora,0.325,The Forge,Ihatalo,-6.7075105340375,4.9557054291704,9.4326218506763,Maila,Messoya,Oijanen,Reisen,,,,,3,a-ko-ra,,,,
Ansila,0.912,The Forge,Ihilakken,-14.1907839349533,5.5430726626926,10.9208016114026,Hirtamon,Hykkota,Ikuchi,,,,,,3,an-si-la,,,,
Aokannitoh,0.971,The Forge,Ihilakken,-13.677230510699,6.1593299351292,10.8641750668068,Hirtamon,,,,,,,,4,a-oka-nni-to,,,,
Eruka,0.417,The Forge,Orpana,-9.5218395829963,6.5356266065742,14.3376909747739,Mastakomon,Osaa,,,,,,,3,e-ru-ka,,,,
Eskunen,0.625,The Forge,Ihilakken,-15.3519004289575,4.2661698014828,10.5342914908028,Ohmahailen,Outuni,,,,,,,3,es-ku-nen,,,,
Friggi,0.509,The Forge,Okkelen,-7.3875772452842,9.6063142669244,12.00272993755,Airmia,Ihakana,Otitoh,Sakkikainen,,,,,2,fri-gi,,,,
Fuskunen,0.225,The Forge,Mivora,-4.7004117151051,4.0016254920767,7.7936800719028,Ofage,Uemon,,,,,,,3,fus-ku-nen,4,fus-ku-ne-n,,
